type,item,meaning,example
,煦,6.和樂貌。 參見“ 煦煦 ”。,NA
,煦煦,1.惠愛貌。 ; 2.和悅貌。  ; 3.溫暖貌。  ,  唐 韓愈 《原道》： “彼以煦煦為仁， 孑孑為義， 其小之也， 則宜。” ;   宋 葉適 《祭周宗夷文》： “良朋時來， 花月供娛；十十五五， 煦煦濡濡。” ;   元 張養浩 《擬四時歸田樂‧冬》詩： “負暄坐晴簷， 煦煦春滿袍。”
,煩鬱,1.濃密貌。 ,NA
,煪,1.火燒貌。  ,NA
,熅熅,1.火勢微貌。 ; 2.微熱貌。  ,  唐 陸羽 《茶經‧源》： “中置一器， 貯煻煨火， 令熅熅然。” ;   元 關漢卿 《拜月亭》第三摺： “元來你……澀澀的輕把我裙兒拽， 熅熅的羞得我腮兒熱。”
,熒,1.光微弱貌。  ,NA
,熒然,1.光微弱貌。 ; 2.晶亮貌。  ; 3.猶煢然。 孤獨貌。  ,  宋 梅堯臣 《鬼火賦》： “有光熒然明於水邊， 人皆謂之鬼火， 吾獨未為然焉。” ;   明 王世貞 《王山人自稱十岳先有二詩見寄聊此和贈》： “卻墮七尺籬， 鷃目熒然改。” ;   宋 葉適 《祭趙知宗文》： “遽聞殞背， 徒切摧傷。 熒然一卮， 於此永訣。”
,熒熒,2.光閃爍貌。  ; 3.光艷貌。  ,  漢 秦嘉 《贈婦詩》： “飄飄帷帳， 熒熒華燭。” ; 《文選‧宋玉＜高唐賦＞》： “玄木冬榮， 煌煌熒熒。” 
,熛,6.風迅疾貌。  ,  晉 楊泉 《物理論》： “故春氣溫， 其風溫以和， 喜風也；夏氣盛， 其風熛以怒， 怒風也。”參見“ 熛怒 ”。
,熛怒,1.火盛貌。 ; 3.風迅猛貌。  ,《詩‧小雅‧正月》“燎之方揚” 漢 鄭玄 箋： “火田為燎， 燎之方盛之時， 炎熾熛怒， 寧有能滅息之者！” ; 《文選‧宋玉＜風賦＞》： “飄忽淜滂， 激颺熛怒。” 
,熱氣騰騰,1.熱氣蒸騰貌。 ,《西游記》第五九回： “那人接了錢， 不論好歹， 揭開車兒上衣裹， 熱氣騰騰， 拿出一塊糕遞與 行者 。” 
,熱滾滾,2.熱淚涌流貌。  ,  朱自清 《別》： “他的淚不和他商議， 熱滾滾直滴下來了。” 
,熱騰騰,1.熱氣蒸發貌。 ,《二刻拍案驚奇》卷二二： “果然拿熱騰騰的狗肉來， 與公子一同狼餐虎嚥， 喫得盡興。” 
,熲熲,1.猶炯炯。 光亮貌。 ,  漢 王逸 《九思‧哀歲》： “神光兮熲熲， 鬼火兮熒熒。” 
,熼,2.火貌。,NA
,熾然,2.火盛貌。  ; 4.猛烈貌；強烈貌。  ; 5.明亮貌。  ; 6.明白貌。  ,《法苑珠林》卷八： “良由三毒猛火燒心， 熾然不絕， 故受斯苦。” ;   金 元好問 《清真觀記》： “蕩然大壞不收之後， 殺心熾然如大火聚。” ;   明 宋濂 《跋＜金剛經＞篆書後》： “隨寫隨空， 不見有跡， 光明熾然， 遍覆大千。” ;   宋 范成大 《包山寺》詩： “槁衲昔開山， 至今坐道場。 熾然說慈忍， 禪海薰戒香。” 
,燀,4.火焰升起貌。  ,《國語‧周語下》： “水無沈氣， 火無災燀。” 
,燁煜,1.樂音繁盛貌。 ; 2.光華閃爍貌。  ,《文選‧班固＜東都賦＞》： “鐘鼓鏗鍧， 管絃燁煜。” ;   明 劉基 《為杭州鄭善止題蓬萊山圖》： “ 鍾山 燭龍 在其北， 兩眼燁煜如朝暾。” 
,燁燁,2.灼熱貌；顯赫貌。  ,  漢 王粲 《初征賦》： “薰風溫溫以增熱， 體燁燁其若焚。” 
,燊,1.火勢盛貌。  ,NA
,燏,1.火光貌。  ,NA
,燐,4.光閃爍貌。 參見“ 燐燐 ”、“ 燐爛 ”。,NA
,燕燕,2.安適貌；和樂貌。  ,《詩‧小雅‧北山》： “或燕燕居息， 或盡瘁事國。” 
,燡,2.光明貌。  ,《文選‧王延壽〈魯靈光殿賦〉》： “汩磑磑以璀璨， 赫燡燡而燭坤。” 
,燦,1.明亮貌。  ; 2.鮮艷貌；鮮明貌。  ,  南朝 梁 何遜 《苦熱行》： “臥思清露浥， 坐待明星燦。” ;   唐 舒元輿 《錄桃源畫記》： “其夾岸有樹木千萬本， 列立如揖， 丹色鮮如霞， 擢舉欲動， 燦若舒顏。” 
,燦然,2.明亮貌。  ; 3.鮮麗貌。  ,  宋 梅堯臣 《夜》詩： “群物各已息， 眾星燦然森。” ;   宋 蘇軾 《謝惠生日詩啟》： “燦然華袞之榮， 自省庸虛， 惟知愧汗。” 
,燦燦,1.閃閃發亮貌。 ; 2.色彩鮮艷貌。  ,  唐 韓愈 《和李相公攝事南郊覽物興懷呈一二知舊》： “燦燦辰角曙， 亭亭寒露朝。” ;   明 何景明 《憶昔行》： “花邊燦燦丹鳳雛， 天上矯矯石麒麟。” 
,燭影搖紅,1.燈燭光亮晃動貌。 ,  宋 王詵 《憶故人》詞： “燭影搖紅向夜闌， 乍酒醒， 心情懶。” 
,爁炎,2.引申為火焰飄動貌。  ,  三國 魏 劉劭 《人物志‧材理》： “序疏數則豁達而傲博， 立事要則爁炎而不定， 淺解之人不能深難。”
,爍,1.發光貌。  ,《說文‧火部》新附： “爍， 灼爍， 光也。” 
,爚,2.光彩貌。  ,《古文苑‧揚雄〈蜀都賦〉》： “扶林禽， 爚般關。 旁支何若， 英絡其間。” 
,爛,17.眾多貌。  ,《詩‧大雅‧韓奕》： “諸娣從之， 祁祁如雲。  
,爛若,1.光亮貌。 ; 2.盛開貌。  ,  唐 顧況 《上古之什補亡訓傳‧十月之郊》： “高閣高閣， 珠綴結絡。 金鋪爛若， 不集于鳥雀。” ;   清 孫枝蔚 《送方聖羽還山》詩之一： “君歸當九月， 菊花方爛若。”
,爽然,1.爽快舒暢貌。 ; 4.消失貌。  ,  唐 李白 《游秋浦白笴陂》詩之二： “ 白笴 夜長嘯， 爽然溪谷寒。” ;   清 沈覆 《浮生六記‧閨房記樂》： “少焉， 一輪明月已上林梢， 漸覺風生袖底， 月到波心， 俗慮塵懷， 爽然頓釋。”
,爽爽,1.俊朗出眾貌。 ,  晉 孫綽 《竺法汰贊》： “爽爽 法汰 ， 校德無怍， 事外蕭灑， 神內恢廓。” 
,爽颯,1.飛揚貌。 ; 2.勁捷貌。  ; 3.蒼勁貌。  ,  明 劉基 《重用韻答嚴上人》： “塵埃爽颯枯蓬鬢， 霜露淒涼破衲衣。” ;   郭沫若 《孔雀膽》第一幕： “ 段功 ： （匆促向樹下走去， 甚為爽颯）王子， 我 段功 來接你下來！” ;   明 劉基 《題趙學士松圖》詩： “蜿蜒不上霄漢去， 爽颯長留煙雨濃。”
,爾,10.通“ 薾 ”。 花盛貌。  ,《詩‧小雅‧采薇》： “彼爾維何？維常之華。” 
,爾爾,3.進退合度貌。  ,  明 何景明 《明威將軍指揮僉事余君墓志銘》： “佩玉紫紫， 垂帶委委， 話言唯唯， 旋辟爾爾。”
,牙槎,2.瘦削貌。,NA
,牢,14.憂鬱貌。  ,  唐 皮日休 《憂賦》： “尚尚羊羊， 隱隱遑遑， 牢然不胜悒。”參見“ 牢愁 ”。  
,牢牢,1.寥廓深遠貌。 ,  唐 張祜 《箜篌》詩： “星漢夜牢牢， 深簾調更高。” 
,物色,3.形狀；形貌。  ,《西京雜記》卷二： “ 高帝 既作 新豐 ， 并移舊社， 衢巷、棟宇， 物色惟舊。 士女老幼相攜路首， 各知其室；放犬羊雞鴨於通塗， 亦竟識其家。” 
,特然,1.特立貌。 ,《隸釋‧漢小黃門譙敏碑》： “ 敏 不附麗同類， 年垂耳順， 而官簿不進， 恐是特然不群者。” 
,犁然,1.猶釋然。 自得貌。 ; 2.明察， 明辨貌。  ,《莊子‧山木》： “ 孔子 窮於 陳 蔡 之間， 七日不火食， 左據槁木， 右擊槁枝， 而歌 猋氏 之風， 有其具而無其數， 有其聲而無宮角， 木聲與人聲， 犁然有當於人之心。”一本作“ 犁然 ”。  ;   明 張居正 《賀朱鎮山重膺殊恩序》： “凡古今隆替， 名物隱賾， 一叩之， 罔不犁然辨， 洞然析， 武庫未足喻其藏， 江海未足方其畜也。” 
,犄,2.兩角相對貌。  ,  清 胡敬 《牧牛歌》： “大牛前行角雙犄， 小牛後隨拳短尾。”
,犖,2.文彩交錯貌。 參見“ 駁犖 ”。  ; 4.嶙峋貌。 參見“ 犖确 ”。  ; 5.堅硬貌。 參見“ 犖确 ”。  ,NA; NA; NA
,犖然,1.卓絕貌；明顯貌。 ,《史記‧李斯列傳》： “故外不可傾以仁義烈士之行， 而內不可奪以諫說忿爭之辯。 故能犖然獨行恣睢之心而莫之敢逆。” 
,犖确,1.怪石嶙峋貌。  ; 2.堅硬貌。  ,  唐 韓愈 《山石》詩： “山石犖确行徑微， 黃昏到寺蝙蝠飛。” ;   明 沈德符 《野獲編‧外國‧夷人市瓷器》： “試投之犖确之地， 不損破者， 始以登車。” 
,狀,2.指容貌。  ; 6.禮貌。  ,《戰國策‧秦策五》： “王后悅其狀。” ; 《史記‧項羽本紀》： “諸侯吏卒異時故繇使屯戍過 秦中 ， 秦中 吏卒遇之多無狀。” 
,狀貌,1.相貌， 容貌。 ,《戰國策‧趙策一》： “ 豫讓 又漆身為厲， 滅鬚去眉， 自刑以變其容， 為乞人而往乞， 其妻不識， 曰： ‘狀貌不似吾夫， 其音何類吾夫之甚也。 ’” 
,狂攘,1.紛亂貌。 ,《楚辭‧嚴忌＜哀時命＞》： “摡塵垢之狂攘兮， 除穢累而反真。” 
,狂斐,1.《論語‧公冶長》： “子在 陳 ， 曰： ‘歸與！歸與！吾黨之小子狂簡， 斐然成章， 不知所以裁之。 ’” 朱熹 集注： “狂簡， 志大而略於事也。 斐， 文貌。 成章， 言其文理成就， 有可觀者。”後以“狂斐”謂立意高遠， 文采斐然。 ,  宋 梅堯臣 《途中寄上尚書晏相公二十韻》： “下言狂斐頗及古， 陶 韋 比格吾不私。”參見“ 狂簡 ”。  
,狊,1.犬視貌。  ; 2.鳥張兩翅貌。  ,《說文‧犬部》： “狊， 犬視貌， 從犬目。” ; 《爾雅‧釋獸》： “鳥曰狊。” 
,狋,1.犬怒貌。  ,《說文‧犬部》： “狋， 犬怒貌。”參見“ 狋狋 ”。  
,狎獵,1.眾飾繽紛貌。 ; 2.重疊接續貌。  ,《文選‧張衡＜南都賦＞》： “琢琱狎獵， 金銀琳琅。” ; 《文選‧張衡＜西京賦＞》： “蔕倒茄於藻井， 披紅葩之狎獵。” 
,狙,5.驚去之貌。 參見“ 狙獷 ”。,NA
,狟,2.威武貌。  ,《玉篇‧犬部》： “狟， 武貌也， 威也。 今作桓。”參見“ 狟狟 ”。  
,狡,11.通“ 姣 ”。 少好貌。 參見“ 狡童 ”。  ,NA
,狼扈,1.縱橫散亂貌。 ,《周禮‧秋官‧序官》“條狼氏” 漢 鄭玄 注： “ 杜子春 云： ‘條當為滌器之滌。 ’滌， 除也；狼， 狼扈道上。” 
,狼犺,2.踉蹌貌。  ,  清 蒲松齡 《聊齋志异‧青蛙神》： “﹝蛙﹞下床出門， 狼犺數步， 復返身臥門內。” 
,狼狽,8.困頓疲憊貌。  ; 9.破敝不整貌。  ,《金瓶梅詞話》第二六回： “可憐這 來旺兒 ， 在監中監了半月光景， 沒錢使用， 弄的身體狼狽， 衣服藍縷， 沒處投奔。” ; 《西游記》第三八回： “彩畫雕欄狼狽， 寶妝亭閣攲歪。” 
,狼藉,1.縱橫散亂貌。 ,《史記‧滑稽列傳》： “日暮酒闌， 合尊促坐， 男女同席， 履舄交錯， 杯盤狼藉。” 
,猋,1.本為犬奔貌、群犬奔貌。 引申為疾進貌。  ,《楚辭‧九歌‧雲中君》： “靈皇皇兮既降， 猋遠舉兮雲中。” 
,猒猒,1.安靜貌。 ; 2.猶漫漫。 長遠無際貌。  ; 3.猶奄奄。 氣息微弱貌。  ,《荀子‧儒效》： “猒猒兮其能長久也。” ;   唐 李商隱 《水天閑話舊事》詩： “暮雨自歸山峭峭， 秋河不動夜猒猒。” ;   宋 洪邁 《夷堅甲志‧兔索命》： “病數月小愈， 然猒猒如癡人， 後十年乃死。”
,猖披,1.衣不繫帶， 散亂不整貌。 謂狂妄偏邪。 ; 2.引申為放蕩不羈貌。  ,《楚辭‧離騷》： “何 桀 紂 之猖披兮， 夫唯捷徑以窘步。” ;   明 唐寅 《風雨浹旬廚煙不繼因題絕句八首奉寄孫思和》之五： “領解皇都第一名， 猖披歸臥舊茅衡；立錐莫笑無餘地， 萬里江山筆下生。” 
,猗那,1.柔美、盛美貌。 ,《詩‧商頌‧那》： “猗與那與， 置我鞀鼓。” 
,猗靡,1.隨風飄拂貌。 ; 2.婀娜貌。  ,《文選‧枚乘＜七發＞》： “眾芳芬鬱， 亂於五風；從容猗靡， 消息陽陰。” ; 《文選‧司馬相如＜子虛賦＞》： “於是 鄭 女曼姬， 被阿緆， 揄紵縞……扶輿猗靡， 翕呷萃蔡。” 
,猘,3.凶猛貌。  ,  宋 周去非 《嶺外代答‧禽獸‧蠻犬》： “蠻犬如獵狗， 警而猘……盜莫敢近。” 
,猛,9.用力貌；盡情貌。  ,  宋 文同 《新霜》詩： “新霜着庭樹， 葉下如猛剉。” 
,猶,4.躊躇疑懼貌。  ; 5.舒遲貌。 參見“ 猶然 ”。  ; 6.笑貌。 參見“ 猶然 ”。  ,《老子》： “豫兮若冬涉川， 猶兮若畏四鄰。” ; NA; NA
,猶然,1.舒遲貌。 ; 2.微笑自得之貌。  ,《大戴禮記‧哀公問五義》： “君子猶然如將可及也， 而不可及也。” ; 《莊子‧逍遙游》： “ 宋榮子 猶然笑之。” 
,猶若,1.舒和貌。 ,《荀子‧子道》： “ 子路 趨而出， 改服而入， 蓋猶若也。” 
,獳,1.犬怒貌。  ,《說文‧犬部》： “獳， 怒犬貌。” 
,玄玄,1.深遠貌；幽遠貌。 ,  漢 蔡邕 《翟先生碑》： “挹之若江湖， 仰之若華光， 玄玄焉測之則無源， 汪汪焉酌之則不竭。” 
,玄黃,9.馬病貌。  ,《詩‧周南‧卷耳》： “陟彼崔嵬， 我馬虺隤……陟彼高崗， 我馬玄黃。” 
,玉亭亭,2.高潔貌。  ,  清 汪懋麟 《題惠元龍詩卷即和卷中寄苕文兄韻》之一： “愛君詩骨玉亭亭， 欲把烏絲上紙屏。”
,玉容,1.美稱女子的容貌。 ,  晉 陸機 《擬＜西北有高樓＞》詩： “玉容誰得顧， 傾城在一彈。” 
,玉溜,3.眼珠流轉靈活貌。  ,  明 無名氏 《犀佩記‧剔目流芳》： “我見你秋波玉溜使我憐， 一雙俊俏含情眼。”
,玉盤盂,3.喻美貌。  ,  明 無名氏 《二蘭記‧共女閑敘》： “攬征衣芳菲沿路， 惜花顏兩朵玉盤盂。”
,玉色,4.比喻美貌。  ,  晉 王嘉 《拾遺記‧後漢》： “﹝ 靈帝 ﹞乘船以遊漾， 使宮人乘之， 選玉色輕體者， 以執篙楫， 搖漾於渠中。” 
,玉面,2.美好的容貌。  ,  南朝 梁簡文帝 《烏栖曲》之四： “織成屏風金屈膝， 朱脣玉面燈前出。” 
,玉顏,1.形容美麗的容貌。 多指美女。 ,  戰國 楚 宋玉 《神女賦》： “貌豐盈以莊姝兮， 苞溫潤之玉顏。” 
,班然,1.色彩斑斕貌。 班， 通“ 斑 ”。 ; 2.明顯貌。  ,《禮記‧檀弓下》： “貍首之班然， 執女手之卷然。” ; 《新唐書‧突厥傳上》： “方其時， 群臣獻議盈廷， 或聽或置， 班然可睹也。” 
,班班,1.明顯貌；顯著貌。 ; 2.絡繹不絕貌；盛多貌。  ; 3.猶彬彬。 文質兼備貌。  ; 4.斑點眾多貌。 班， 通“ 斑 ”。  ,《後漢書‧文苑傳下‧趙壹》： “余畏禁， 不敢班班顯言， 竊為《窮鳥賦》一篇。” ; 《後漢書‧五行志一》： “車班班， 入 河間 者， 言上將崩， 乘輿班班入 河間 迎 靈帝 也。” ;   漢 揚雄 《太玄‧文》： “文質班班， 萬物粲然。” ;   唐 白居易 《山中五絕句‧石上苔》： “漠漠班班石上苔， 幽芳靜綠絕纖埃。”一本作“ 斑斑 ”。  
,班闌,2.含混不清貌。 班， 通“ 斑 ”。  ,  清 王夫之 《薑齋詩話》卷二附錄： “其《樂則生矣》一段文字， 開講處有數‘樂’字， 鳥語班闌， 不知音‘岳’音‘雒’。 猶可謂肉團心有一鍼孔乎？”
,琅玕,8.猶闌干， 縱橫散亂貌。  ,《隸釋‧漢成陽令唐扶頌》： “君臣流涕， 道路琅玕。” 
,琅璫,6.猶郎當。 潦倒貌。  ,  宋 文天祥 《至揚州》詩： “此廟何神 三十郎 ， 問郎行客忒琅璫。”
,瑞相,2.佛教語。 謂象徵吉瑞之兆的相貌。  ,《涅槃經》卷二： “如來今現如此瑞相， 不久必當入於涅槃。” 
,瑟然,1.潔凈、明亮貌。 ; 2.寒涼貌。  ,  唐 劉禹錫 《故吏部侍郎奚公神道碑銘》： “帝曰汝器， 黃流瑟然；可為大僚， 左右化源。” ;   唐 劉禹錫 《聞新蟬見贈》詩： “瑟然引秋氣， 芳草日夜黃。”
,瑩然,1.光潔貌。 ; 3.猶熒然。 光亮微弱貌。  ,《晉書‧樂廣傳》： “此人之水鏡， 見之瑩然， 若披雲霧而睹青天也。” ;   茅盾 《霜葉紅似二月花》四： “煙榻上， 那瑩然一點的煙燈， 相形之下， 好像就要滅寂似的。”
,瑰異,2.卓異；特異；珍奇。 指人之形貌。  ,《魏書‧世祖紀上》： “﹝ 世祖 ﹞體貌瑰異， 太祖 奇而悅之。” 
,瑳,1.玉色鮮潔貌。  ; 2.巧笑貌。  ,《詩‧鄘風‧君子偕老》： “瑳兮瑳兮， 其之展也。” ; 《詩‧衛風‧竹竿》： “巧笑之瑳， 佩玉之儺。” 
,璁瓏,1.明潔貌。 ,  金 元好問 《點絳唇‧青梅永寧時作》詞： “玉葉璁瓏， 素妝不趁宮黃媚。” 
,璘珣,1.鮮明貌。 ; 2.猶嶙峋。 突兀貌。  ,  唐 盧肇 《湖南觀雙柘枝舞賦》： “桂裳馥以彩翠， 玉指皓以璘珣。” ;   宋 林逋 《和運使陳學士游靈隱寺寓懷》： “灑翰璘珣壁， 還駕旃檀林。” 
,璨瑳,1.玉色明潔貌。 借指雪。 ,  宋 蘇軾 《病中大雪答趙薦》詩： “惟思近醇醲， 未敢窺璨瑳。” 
,環環,1.彎曲貌。 ; 2.圓貌。  ,《樂府詩集‧清商曲辭六‧女兒子》： “我欲上 蜀 蜀水 難， 蹋蹀珂頭腰環環。” ;   唐 韓愈 《峽石西泉》詩： “居然鱗介不能容， 石眼環環水一鍾。 聞說旱時求得雨， 秖疑科斗是蛟龍。” 
,瓏,3.明潔貌。  ,  元 顧德潤 《點絳唇‧四友爭春》套曲： “天下湖山風月瓏。”參見“ 瓏玲 ”。  
,瓏玲,1.明潔貌。 ,  漢 揚雄 《甘泉賦》： “前殿崔巍兮， 和氏 瓏玲。”一本作“ 玲瓏 ”。  
,瓏鬆,1.同“ 蘢蔥 ”。 花木繁茂貌。 ; 2.涼爽貌。  ,  宋 胡仔 《苕溪漁隱叢話前集‧山谷上》： “《高齋詩話》云： 唐 人題 唐昌觀 《玉蕊花》詩云： ‘一樹瓏鬆玉刻成， 飄廊點地色輕輕。 女冠夜覓香來處， 唯見階前碎月明。 ’” 金 高士談 《梨花》詩： “爛熳雪有香， 瓏鬆玉仍刻。” ;   清 龔自珍 《能令公少年行》： “秋肌出釧涼瓏鬆， 夢不墮少年煩惱叢。”
,甍甍,1.屋宇相連貌。 ,  明 唐順之 《結客少年場行》： “別有侯王勢絕倫， 甍甍甲第接天闉。” 
,生像,2.相貌。  ,《紅樓夢》第三九回： “ 劉姥姥 道： ‘我這生像兒， 怎麼見得呢？好嫂子， 你就說我去了罷！’”
,生相,1.長相；相貌。 ,  元 關漢卿 《竇娥冤》第四摺： “小的見他生相是個惡的， 一定拿這藥去藥死了人。” 
,田田,2.蓮葉盛密貌。  ; 4.鮮碧貌。  ,《樂府詩集‧相和歌辭一‧江南》： “ 江 南可采蓮， 蓮葉何田田。” ;   南朝 梁 江淹 《水上神女賦》： “野田田而虛翠， 水湛湛而空碧。” 
,申申,1.和舒貌。 ; 3.整飭貌。  ,《論語‧述而》： “ 子 之燕居， 申申如也。” ; 《漢書‧石奮傳》： “子孫勝冠者在側， 雖燕必冠， 申申如也。” 
,町町,1.平坦貌。 ; 2.引申為蕩然無存貌。  ,《詩‧鄭風‧東門之墠》“東門之墠” 毛 傳： “墠， 除地町町者。” ;   漢 王充 《論衡‧語增》： “傳語曰： ‘町町若 荊軻 之閭。 ’言 荊軻 為 燕 太子丹 刺 秦王 ， 後誅 軻 九族， 其後恚恨不已， 復夷 軻 之一里。 一里皆滅， 故曰町町。”
,畔,6.混亂貌。  ,《漢書‧敘傳上》： “畔回冗其若茲兮， 北叟頗識其倚伏。” 
,畔喭,1.剛猛粗率貌。 ; 2.不順貌。,NA; NA
,畟,3.整齊貌。  ,  南朝 梁 蕭統 《殿賦》： “闌檻參差， 棟宇齊畟。” 
,畢逋,1.鳥尾擺動貌。 ,《後漢書‧五行志一》： “ 桓帝 之初， 京都童謠曰： ‘城上烏， 尾畢逋， 公為吏， 子為徒。 ’” 南朝 梁 吳均 《城上烏》詩： “嗚嗚城上烏， 翩翩尾畢逋。” 
,畫然,1.明察貌；分明貌。 ,《莊子‧庚桑楚》： “ 老聃 之役， 有 庚桑楚 者， 偏得 老聃 之道， 以北居 畏壘 之山， 其臣之畫然知者去之， 其妾之挈然仁者遠之。” 
,異相,1.奇異的相貌。 相術家多謂命運非凡者之相。 ,  北周 庾信 《蔡澤就唐生相贊》： “雖云異相， 會待逢時。” 
,異表,2.奇特的外貌。  ,  漢 班固 《白虎通‧聖人》： “聖人皆有異表。 傳曰： 伏羲 日祿衡連珠， 大目， 山准龍狀。” 
,疏,27.鮮明貌。 參見“ 疏疏 ”。  ,NA
,疏疏,1.猶楚楚。 服裝鮮明整齊貌。 ; 2.稀疏貌。  ; 3.朦朧貌。  ,《韓詩外傳》卷三： “ 子路 盛服以見 孔子 。  ;   唐 賈島 《光州王建使君水亭作》詩： “夕陽庭際眺， 槐雨滴疏疏。” ;   宋 李清照 《浣溪沙》詞： “晚風庭院落梅初， 淡雲來往月疏疏。” 
,疐,3.怒貌。  ,《禮記‧大學》“身有所忿懥， 則不得其正” 漢 鄭玄 注： “懥， 怒貌也。 或作懫， 或為疐。” 
,疾疾,1.憎惡之甚貌。 ; 2.急忙貌；快速貌。  ,《荀子‧非十二子》： “吾語汝學者之嵬容……酒食聲色之中， 瞞瞞然， 瞑瞑然；禮節之中， 則疾疾然， 訾訾然。” ; 《史記‧龜策列傳》： “天下禍亂， 陰陽相錯。 匆匆疾疾， 通而不相擇。” 
,疾視,2.顧視迅疾貌。  ,《晏子春秋‧諫下十六》： “ 景公 為巨冠長衣以聽朝， 疾視矜立， 日晏不罷。” 
,痑,1.眾多貌。  ,《漢書‧司馬相如傳下》： “攢羅列聚叢以蘢茸兮， 衍曼流爛痑以陸離。” 
,痒痒,1.歡暢貌。 ; 2.憂慮貌。  ,  明 袁宏道 《伯修》： “遊 龍洞 ， 觀 無礙居士 舊跡， 不勝癢癢。” ;   清 錢謙益 《答方長治啟》： “伏承來命之拳拳， 轉使我心之癢癢。”
,瘣,4.山高峻貌。,NA
,發狂,5.呆滯失常貌。  ,  楊朔 《三千里江山》第十五段： “你瞧他精瘦精瘦， 臉像木頭似的， 眼神有點發狂， 一楞一楞的， 誰敢靠他做事。”
,皇然,1.堂皇正大貌；正經貌。 ; 2.惶恐貌。 皇， 通“ 惶 ”。  ,  清 龍啟瑞 《致曾滌笙侍郎書》： “當受牛羊之時， 何不皇然自謝其不敏也。” ;   清 魏源 《＜聖武記＞敘》： “故昔帝王處蒙業久安之世， 當渙汗大號之日， 必虩然以軍令飭天下之人心， 皇然以軍事軍食延天下之人材。” 
,皎然,1.明亮潔白貌。 ; 2.高潔貌。  ; 3.清晰貌；分明貌。  ,  南朝 宋 劉義慶 《世說新語‧任誕》： “ 王子猷 居 山陰 ， 夜大雪， 眠覺， 開室命酌酒， 四望皎然， 因起仿偟， 詠 左思 《招隱》詩。” ; 《後漢書‧王暢傳》： “ 蘧伯玉 恥獨為君子， 府君不希 孔聖 之明訓， 而慕 夷 齊 之末操， 無乃皎然自貴於世乎？” 明 方孝孺 《袁安臥雪圖贊》： “烈烈司徒， 處困不折。 志行皎然， 與雪俱潔。” ;   南朝 梁 劉勰 《文心雕龍‧聲律》： “抗喉矯舌之差， 攢脣激齒之異， 廉肉相準， 皎然可分。” 
,皎鏡,2.明潔貌。  ,  南朝 梁 沈約 《新安江至清淺深見底貽京邑游好》詩： “洞澈隨深淺， 皎鏡無冬春。” 
,皓,6.通“ 昊 ”、“ 浩 ”。 廣大貌；虛曠貌。  ,  南朝 梁 劉勰 《文心雕龍‧事類》： “皜如江海， 鬱若 昆鄧 。”參見“ 皓天 ”、“ 皓皓 ”。  
,皓然,1.潔白貌。  ; 3.顯明貌；光明貌。  ,《列子‧湯問》： “火浣之布， 浣之必投於火。 布則火色， 垢則布色， 出布而振之， 皓然疑乎雪。” ; 《大戴禮記‧文王官人》： “質色皓然固以安， 偽色縵然亂以煩。” 
,皓皓,1.潔白貌；高潔貌。  ; 2.光明貌。  ; 3.盛大貌。  ; 4.曠達貌；虛曠貌。  ,《詩‧唐風‧揚之水》： “揚之水， 白石皓皓。” ;   漢 揚雄 《法言‧淵騫》： “明星皓皓， 華藻之力也與？” 郭沫若 《在鴨綠江中弄舟》詩： “百丈高隄聯祖國， 秋陽皓皓暴當頭。” ; 《史記‧河渠書》： “ 瓠子 決兮將奈何？皓皓旰旰兮閭殫為 河 ！”一本作“ 皓皓 ”。  ; 《大戴禮記‧衛將軍文子》： “常以皓皓， 是以眉壽， 是 曾參 之行也。” 
,皤,2.老人白首貌。 亦借指元老。  ,  宋 宋祁 《宋景文公筆記‧釋俗》： “ 蜀 人謂老為皤， 取皤皤黃髮義。” 
,皦然,2.清白貌。  ; 3.潔白光亮貌。  ,  漢 蔡邕 《薦皇甫規》： “出處抱義， 皦然不污。” ;   晉 干寶 《搜神記》卷十四： “常有雙鶴素羽皦然， 日夕偶影翔集。” 
,盡盡,1.消沉沮喪貌。 ,《荀子‧非十二子》： “盡盡然， 盱盱然。” 
,監監,2.監， 通“ 鑒 ”。 卓立不倚貌。  ,《靈樞經‧逆順肥瘦》： “刺壯士真骨， 堅肉緩節監監然。” 
,盤,22.廣大貌。  ,《文選‧枚乘〈七發〉》： “軋盤涌裔， 原不可當。” 
,盤擗,2.氣充沛貌。  ,  唐 李肇 《唐國史補》卷下： “﹝客﹞既至， 請笛而吹……及入破， 呼吸盤擗， 其笛應聲粉碎。”
,盤旋,7.跛行搖擺貌。  ,  明 馮夢龍 《智囊補‧雜智‧偽跛偽躄》： “又一家門集米袋， 忽有躄者， 垂腹甚大， 盤旋其足而來， 坐米袋上。 眾所共觀， 不知何由。 匿米一袋於跨下， 復盤旋而去。”
,盤礡,2.奮發貌。  ; 3.盤屈牢固貌。  ,  宋 秦觀 《曾子固哀詞》： “辰來遲而去速兮， 固前修以跋疐， 方盤礡而上征兮， 遽相羊而補外。” ;   南朝 梁 江淹 《草木頌‧豫章》： “下貫金壤， 上籠赤霄， 盤薄廣結， 捎瑟曾喬。” 
,盤虯,2.盤曲貌。  ,  明 李東陽 《松岩記》： “ 歙 地多巖谷， 其產宜松， 輪囷盤虯， 動數百年， 有可望而不可挹者。”
